tweet,maastricht,6.26E-04,4.67E-04,3.66E-04,5.38E-04,2.24E-04,3.21E-04,2.21E-04,0.007156589,3.06E-04,5.14E-04,4.45E-04,5.32E-04
description,rotterdam,4.66E-05,3.95E-05,4.38E-05,4.45E-05,1.82E-04,3.92E-05,4.00E-05,2.23E-05,6.58E-05,7.94E-05,0.001684126,8.32E-05
hashtag,rtvnoord,1.36E-05,1.43E-05,9.53E-05,3.68E-05,9.22E-06,0.006152119,2.18E-04,5.48E-05,9.30E-04,4.21E-05,3.27E-05,2.59E-05
tweet,apeldoorn,2.58E-04,5.21E-04,0.00128016,3.33E-04,1.43E-04,3.22E-04,3.90E-04,2.30E-04,3.20E-04,0.003635409,3.05E-04,5.46E-04
tweet,haarlem,2.12E-04,4.15E-04,2.16E-04,0.002984858,1.91E-04,2.25E-04,2.34E-04,1.47E-04,1.96E-04,2.72E-04,5.33E-04,4.23E-04
tweet,lelystad,9.64E-05,0.009887141,4.43E-04,3.25E-04,1.34E-04,3.19E-04,3.68E-04,3.03E-05,2.83E-04,3.13E-04,1.64E-04,2.37E-04
tweet,amersfoort,1.93E-04,8.13E-04,8.17E-04,5.78E-04,8.26E-05,5.22E-04,3.10E-04,1.86E-04,3.21E-04,9.39E-04,4.43E-04,0.003957177
tweet,haag,0.001118441,0.001066688,0.00103541,0.001554285,8.83E-04,0.0010514,7.28E-04,7.45E-04,9.46E-04,0.001160295,0.004034665,0.001480391
tweet,hengelo,9.25E-05,1.43E-04,0.003405438,1.28E-04,3.39E-05,1.60E-04,5.32E-05,6.35E-05,2.09E-04,3.37E-04,1.09E-04,1.44E-04
tweet,flevoland,7.91E-05,0.007907691,1.68E-04,1.81E-04,8.27E-05,7.61E-05,1.59E-04,1.58E-05,1.03E-04,1.27E-04,5.38E-05,1.70E-04
tweet,almelo,1.14E-04,2.96E-04,0.003653937,1.27E-04,1.16E-04,1.69E-04,2.56E-04,1.68E-04,3.82E-04,2.97E-04,1.44E-04,1.40E-04
hashtag,nijmegen,2.17E-04,7.39E-05,1.76E-04,1.14E-04,1.11E-04,1.02E-04,7.07E-05,2.41E-04,2.62E-05,0.002389937,6.82E-05,1.70E-04
hashtag,eindhoven,0.002065057,8.28E-05,1.31E-04,1.24E-04,1.65E-04,3.61E-05,2.45E-05,2.54E-04,6.62E-05,1.77E-04,1.29E-04,1.77E-04
tweet,venlo,5.96E-04,1.73E-04,1.38E-04,1.79E-04,4.65E-05,6.76E-05,8.52E-05,0.00577729,1.59E-04,2.30E-04,2.35E-04,1.26E-04
tweet,heerlen,2.78E-04,1.40E-04,1.04E-04,2.24E-04,3.85E-05,7.55E-05,8.85E-05,0.005310993,4.61E-06,1.65E-04,1.37E-04,2.49E-04
tweet,den,0.003256268,0.001536696,0.001582772,0.002339389,0.001345598,0.001564658,0.001196807,0.001554487,0.001209298,0.001824621,0.004054045,0.002088559
hashtag,arnhem,1.01E-04,6.48E-05,1.66E-04,5.58E-05,5.06E-05,4.30E-05,6.95E-05,6.38E-05,9.38E-05,0.00211419,7.32E-05,1.79E-04
description,zwolle,6.69E-06,5.90E-05,0.00171229,6.23E-06,9.22E-06,9.80E-06,4.18E-05,3.46E-06,1.62E-04,7.31E-05,8.10E-06,2.42E-05
tweet,gelderland,2.51E-04,2.53E-04,4.18E-04,1.91E-04,9.57E-05,1.16E-04,1.32E-04,1.22E-04,2.72E-04,0.002673251,1.93E-04,3.18E-04
tweet,overijssel,6.07E-05,2.11E-04,0.002757955,1.14E-04,4.06E-05,1.11E-04,2.48E-04,4.34E-05,4.27E-04,3.05E-04,8.45E-05,1.61E-04
tweet,hoogeveen,4.54E-05,1.27E-04,3.82E-04,6.73E-05,9.22E-06,7.54E-04,2.24E-04,3.14E-05,0.005647963,9.04E-05,7.64E-05,1.06E-04
tweet,heerenveen,4.41E-04,4.65E-04,5.95E-04,3.13E-04,2.19E-04,7.94E-04,0.005269209,2.50E-04,7.24E-04,3.83E-04,2.82E-04,2.66E-04
tweet,zeeuwse,1.94E-04,8.41E-05,7.22E-05,1.34E-04,0.009607644,7.56E-05,3.03E-05,5.22E-05,5.95E-05,1.18E-04,2.08E-04,1.27E-04
hashtag,tilburg,0.001965833,2.77E-05,5.06E-05,6.59E-05,1.84E-04,4.74E-05,3.35E-05,1.25E-04,1.97E-05,9.49E-05,9.63E-05,1.10E-04
tweet,fryslân,5.45E-05,8.45E-05,9.24E-05,7.36E-05,9.22E-06,2.46E-04,0.003842929,7.63E-05,8.91E-05,5.26E-05,3.46E-05,8.10E-05
tweet,proficiat,0.002078444,4.81E-04,9.25E-04,3.53E-04,0.001476346,2.42E-04,3.93E-04,0.003610696,4.53E-04,9.97E-04,3.65E-04,4.22E-04
hashtag,almere,5.39E-05,0.005993426,1.32E-04,1.58E-04,9.22E-06,5.22E-05,6.76E-05,4.22E-05,7.81E-05,1.02E-04,6.51E-05,1.17E-04
hashtag,breda,0.001850908,4.06E-05,6.27E-05,7.97E-05,2.66E-04,8.20E-06,1.95E-05,1.54E-04,2.50E-05,8.52E-05,1.07E-04,1.23E-04
tweet,groninger,3.33E-05,4.97E-05,9.99E-05,1.01E-04,9.22E-06,0.003227871,2.29E-04,2.30E-05,4.83E-04,6.63E-05,8.34E-05,1.18E-04
hashtag,1limburg,6.51E-05,1.39E-04,5.61E-05,3.22E-05,4.77E-05,2.88E-06,2.94E-05,0.005130779,2.25E-05,5.57E-05,3.16E-05,3.65E-05
tweet,noorden,2.80E-04,3.23E-04,4.36E-04,3.64E-04,1.83E-04,0.003086779,0.001550975,2.61E-04,0.002060965,3.72E-04,3.36E-04,3.39E-04
tweet,leiden,6.47E-04,8.53E-04,6.25E-04,0.001259166,6.85E-04,8.90E-04,4.75E-04,5.92E-04,5.67E-04,7.44E-04,0.002976034,0.00100186
hashtag,enschede,2.20E-05,4.15E-05,0.002323739,5.82E-05,4.64E-05,9.83E-05,1.70E-04,3.63E-05,3.62E-05,1.46E-04,3.64E-05,9.64E-05
hashtag,leeuwarden,5.64E-05,8.38E-05,1.09E-04,5.65E-05,9.22E-06,1.88E-04,0.003256079,9.87E-06,1.87E-04,5.14E-05,4.22E-05,6.75E-05
tweet,delft,3.44E-04,3.82E-04,2.10E-04,4.53E-04,3.53E-04,1.84E-04,1.93E-04,1.53E-04,8.26E-05,2.79E-04,0.002333111,3.65E-04
tweet,ede,1.84E-04,5.55E-04,2.52E-04,2.16E-04,1.08E-04,3.65E-04,1.36E-04,8.71E-05,1.98E-04,0.002625081,2.48E-04,6.46E-04
tweet,meppel,7.23E-05,2.66E-04,5.43E-04,1.39E-04,3.85E-05,6.11E-04,4.42E-04,6.18E-05,0.005594545,1.48E-04,1.23E-04,1.08E-04
tweet,amsterdamse,2.02E-04,4.29E-04,1.87E-04,0.001870645,1.36E-04,2.01E-04,1.81E-04,1.50E-04,1.44E-04,2.17E-04,3.91E-04,4.09E-04
tweet,drachten,4.36E-05,1.52E-04,9.60E-05,8.46E-05,4.28E-05,7.51E-04,0.003560256,3.34E-05,3.54E-04,7.57E-05,4.95E-05,1.02E-04
tweet,roermond,2.16E-04,4.38E-05,7.94E-05,1.30E-04,9.22E-06,7.52E-05,2.63E-05,0.004333498,7.10E-05,1.78E-04,1.08E-04,8.58E-05
tweet,utrechtse,8.60E-05,1.37E-04,6.22E-05,2.08E-04,6.47E-05,8.95E-05,8.30E-05,4.37E-05,3.39E-05,1.29E-04,1.63E-04,0.002213915
tweet,helmond,0.002377673,7.56E-05,9.74E-05,1.26E-04,1.79E-04,4.44E-05,2.19E-04,4.04E-04,5.90E-05,1.99E-04,1.26E-04,1.22E-04
hashtag,rtvoost,3.13E-06,2.49E-05,0.002354368,2.09E-06,9.22E-06,1.65E-05,2.18E-05,1.18E-05,3.09E-04,9.69E-05,1.98E-05,9.80E-06
tweet,alkmaar,1.65E-04,1.87E-04,2.49E-04,0.002132048,1.02E-04,1.14E-04,3.93E-04,2.27E-04,1.50E-04,1.90E-04,2.18E-04,2.33E-04
tweet,carnaval,0.002119355,2.45E-04,6.67E-04,3.57E-04,6.64E-04,2.00E-04,1.43E-04,0.001812984,2.75E-04,6.91E-04,3.33E-04,3.89E-04
tweet,sneek,4.57E-05,2.75E-04,9.33E-05,1.39E-04,6.86E-05,3.15E-04,0.003936065,1.90E-05,2.83E-04,1.27E-04,8.45E-05,1.25E-04
tweet,friese,8.41E-05,2.44E-04,1.81E-04,2.13E-04,9.22E-06,5.17E-04,0.003284106,9.46E-05,4.91E-04,1.66E-04,1.05E-04,2.19E-04
tweet,vlissingen,2.25E-04,1.92E-04,8.17E-05,1.31E-04,0.008873344,6.15E-05,7.38E-05,6.15E-05,5.23E-05,9.25E-05,1.76E-04,1.14E-04
